event,native_observation,repeat_1_exact_vs_native,repeat_1_stage_events_checked,repeat_1_native_events_checked,repeat_2_exact_vs_native,repeat_2_stage_events_checked,repeat_2_native_events_checked,cross_workflow_repeat_exact,result,notes
injection,direct BookSim2 watch timeline,True,180,180,True,180,180,True,EXACT,Seven production selected cases plus both native stochastic repeats; STAGE stochastic timeline is checked against each native repeat.
route,direct BookSim2 watch timeline,True,562,562,True,562,562,True,EXACT,Seven production selected cases plus both native stochastic repeats; STAGE stochastic timeline is checked against each native repeat.
vc_grant,direct BookSim2 watch timeline,True,562,562,True,562,562,True,EXACT,Seven production selected cases plus both native stochastic repeats; STAGE stochastic timeline is checked against each native repeat.
switch_grant,direct BookSim2 watch timeline,True,712,712,True,712,712,True,EXACT,Seven production selected cases plus both native stochastic repeats; STAGE stochastic timeline is checked against each native repeat.
router_send,direct BookSim2 watch timeline,True,712,712,True,712,712,True,EXACT,Seven production selected cases plus both native stochastic repeats; STAGE stochastic timeline is checked against each native repeat.
credit_return,BookSim2 grant/send/ejection-derived credit-channel timeline,True,874,874,True,874,874,True,EXACT,Seven production selected cases plus both native stochastic repeats; STAGE stochastic timeline is checked against each native repeat.
ejection,direct BookSim2 watch timeline,True,180,180,True,180,180,True,EXACT,Seven production selected cases plus both native stochastic repeats; STAGE stochastic timeline is checked against each native repeat.
retirement,direct BookSim2 watch timeline,True,149,149,True,149,149,True,EXACT,Seven production selected cases plus both native stochastic repeats; STAGE stochastic timeline is checked against each native repeat.
canonical_event_hash,production canonical event stream plus native watch SHA-256,True,2838,9,True,2838,9,True,EXACT,The only whole-file difference is generated_utc; all event arrays and canonical hashes are equal.
